Common_Name,Scientific_Name,Color_of_fur,Lat,Long,State
Black-throated cardinal,Paroaria gularis,Red,30.7813,-95.5953,Texas
"Zebra, common",Equus burchelli,Indigo,35.0763,-101.8349,Texas
"Rat, arboral spiny",Echimys chrysurus,Crimson,36.086,-115.1471,Nevada
Manatee,Trichechus inunguis,Fuscia,39.144,-77.2076,Maryland
Kaffir cat,Felis silvestris lybica,Mauv,33.61,-101.8213,Texas
Long-tailed jaeger,Stercorarius longicausus,Indigo,33.1428,-97.0727,Texas
Feathertail glider,Acrobates pygmaeus,Blue,47.7377,-122.3431,Washington
Roseate cockatoo,Eolophus roseicapillus,Green,40.1454,-82.9817,Ohio
"Squirrel, nelson ground",Ammospermophilus nelsoni,Red,27.3896,-80.2615,Florida
"Deer, red",Cervus elaphus,Puce,25.9441,-80.2144,Florida
Malabar squirrel,Ratufa indica,Pink,35.4242,-97.6547,Oklahoma
European stork,Ciconia ciconia,Goldenrod,47.1591,-122.5485,Washington
"Plover, blacksmith",Vanellus armatus,Purple,36.7978,-76.1759,Virginia
Common long-nosed armadillo,Dasypus novemcinctus,Pink,38.7378,-104.6459,Colorado
Curve-billed thrasher,Toxostoma curvirostre,Turquoise,41.7845,-71.3959,Rhode Island
"Insect, stick",Leprocaulinus vipera,Turquoise,29.5189,-98.6006,Texas
Greater kudu,Tragelaphus strepsiceros,Khaki,27.709,-80.5726,Florida
Yellow-headed caracara,Milvago chimachima,Teal,32.7831,-79.937,South Carolina
"Monitor, white-throated",Varanus albigularis,Pink,44.806,-93.1409,Minnesota
Pale-throated three-toed sloth,Bradypus tridactylus,Yellow,37.2187,-121.8601,California
Malabar squirrel,Ratufa indica,Fuscia,38.9033,-92.1022,Missouri
"Otter, african clawless",Aonyx capensis,Maroon,39.1092,-84.6108,Ohio
"Squirrel, nelson ground",Ammospermophilus nelsoni,Goldenrod,32.373,-86.3081,Alabama
"Cat, toddy",Paradoxurus hermaphroditus,Puce,34.7784,-86.6091,Alabama
"Whale, baleen",Eubalaena australis,Khaki,27.872,-82.4388,Florida
"Crab, sally lightfoot",Graspus graspus,Red,40.2204,-74.7622,New Jersey
"Lion, mountain",Felis concolor,Yellow,37.5593,-77.4471,Virginia
White-throated kingfisher,Halcyon smyrnesis,Green,35.4794,-97.5017,Oklahoma
Hummingbird (unidentified),unavailable,Green,26.6104,-80.1683,Florida
"Partridge, coqui",Francolinus coqui,Blue,38.8336,-76.8777,Maryland
Pronghorn,Antilocapra americana,Fuscia,41.7918,-72.7188,Connecticut
"Wombat, southern hairy-nosed",Lasiorhinus latifrons,Crimson,27.709,-80.5726,Florida
American bighorn sheep,Ovis canadensis,Orange,37.2742,-79.9579,Virginia
Komodo dragon,Varanus komodensis,Mauv,40.5412,-119.5869,Nevada
Klipspringer,Oreotragus oreotragus,Mauv,36.0512,-78.8577,North Carolina
Serval,Felis serval,Turquoise,32.7635,-117.2028,California
Red-cheeked cordon bleu,Uraeginthus bengalus,Puce,31.6948,-106.3,Texas
Prehensile-tailed porcupine,Coendou prehensilis,Turquoise,32.69,-96.9177,Texas
Asian red fox,Vulpes vulpes,Maroon,44.9054,-93.2361,Minnesota
"Stork, white",Ciconia ciconia,Turquoise,38.3774,-121.4444,California
Mandras tree shrew,Anathana ellioti,Violet,36.8686,-76.3552,Virginia
"Cockatoo, long-billed",Cacatua tenuirostris,Purple,33.1968,-117.2831,California
Bush dog,Speothos vanaticus,Fuscia,33.7866,-118.2987,California
"Buffalo, wild water",Bubalus arnee,Orange,29.7543,-95.3609,Texas
"Roller, lilac-breasted",Coracias caudata,Blue,38.8933,-77.0146,District of Columbia
"Egret, snowy",Egretta thula,Turquoise,39.778,-89.6466,Illinois
"Flamingo, greater",Phoenicopterus ruber,Blue,33.7661,-117.9738,California
Pine snake (unidentified),Pituophis melanaleucus,Goldenrod,41.0114,-74.3048,New Jersey
Arctic tern,Sterna paradisaea,Fuscia,36.1866,-86.7852,Tennessee
"Squirrel, red",Tamiasciurus hudsonicus,Yellow,37.2742,-79.9579,Virginia
Swainson's francolin,Francolinus swainsonii,Khaki,39.0312,-94.6308,Kansas
Black kite,Milvus migrans,Yellow,41.3914,-75.6657,Pennsylvania
"Bustard, denham's",Neotis denhami,Turquoise,36.2158,-115.0671,Nevada
Sociable weaver,Philetairus socius,Khaki,47.7377,-122.3431,Washington
"Glider, squirrel",Petaurus norfolcensis,Red,33.7866,-118.2987,California
Black rhinoceros,Diceros bicornis,Orange,33.7866,-118.2987,California
"Vulture, black",Aegypius tracheliotus,Violet,40.7918,-73.9448,New York
"Penguin, galapagos",Spheniscus mendiculus,Turquoise,33.1903,-97.1282,Texas
"Peccary, white-lipped",Tayassu pecari,Orange,41.7918,-72.7188,Connecticut
"Genet, common",Genetta genetta,Pink,28.0081,-82.5805,Florida
"Stork, european",Ciconia ciconia,Teal,39.5207,-77.9162,Maryland
Tropical buckeye butterfly,Junonia genoveua,Goldenrod,27.7898,-82.7243,Florida
Kinkajou,Potos flavus,Puce,39.0429,-95.7697,Kansas
Tailless tenrec,Tenrec ecaudatus,Blue,31.9701,-111.8907,Arizona
"Civet, common palm",Paradoxurus hermaphroditus,Turquoise,32.7714,-97.2915,Texas
Brown capuchin,Cebus apella,Khaki,43.4599,-116.244,Idaho
Little grebe,Tachybaptus ruficollis,Violet,41.0938,-85.0707,Indiana
Rhesus monkey,Macaca mulatta,Crimson,38.3365,-77.4366,Virginia
Sacred ibis,Threskionis aethiopicus,Blue,39.969,-83.0114,Ohio
Japanese macaque,Macaca fuscata,Purple,33.7866,-118.2987,California
"Parrot, hawk-headed",Deroptyus accipitrinus,Crimson,29.6518,-95.4854,Texas
"Crane, brolga",Grus rubicundus,Turquoise,43.6746,-96.7913,South Dakota
"Squirrel, european red",Sciurus vulgaris,Khaki,33.7749,-84.3046,Georgia
"Stork, white",Ciconia ciconia,Yellow,41.7638,-72.673,Connecticut
"Dolphin, bottle-nose",Tursiops truncatus,Aquamarine,39.8188,-75.5064,Delaware
"Cat, long-tailed spotted",Felis wiedi or Leopardus weidi,Pink,26.045,-81.6669,Florida
Bald eagle,Haliaeetus leucocephalus,Puce,28.06,-82.4079,Florida
Koala,Phascolarctos cinereus,Green,34.1069,-117.2975,California
"Barbet, black-collared",Lybius torquatus,Red,38.8971,-77.0554,District of Columbia
Black swan,Cygnus atratus,Pink,45.0059,-93.1059,Minnesota
"Elephant, asian",Elephas maximus bengalensis,Indigo,32.9189,-96.7751,Texas
Coyote,Canis latrans,Aquamarine,37.3924,-121.9623,California
"Squirrel, uinta ground",Spermophilus armatus,Blue,21.351,-157.8795,Hawaii
Red-breasted cockatoo,Eolophus roseicapillus,Indigo,29.6223,-95.26,Texas
"Kangaroo, jungle",Macropus agilis,Pink,32.9522,-96.6654,Texas
"Kangaroo, jungle",Macropus agilis,Green,43.0631,-89.3133,Wisconsin
Honey badger,Mellivora capensis,Teal,40.2805,-74.712,New Jersey
"Weaver, chestnut",Ploceus rubiginosus,Orange,43.524,-96.7341,South Dakota
Defassa waterbuck,Kobus defassa,Aquamarine,42.3389,-70.9196,Massachusetts
House crow,Corvus brachyrhynchos,Violet,38.8999,-94.832,Kansas
"Fox, blue",Alopex lagopus,Crimson,32.432,-99.7724,Texas
"Mongoose, yellow",Cynictis penicillata,Indigo,26.6644,-80.1741,Florida
European shelduck,Tadorna tadorna,Red,38.189,-85.6768,Kentucky
"Seal, southern elephant",Mirounga leonina,Green,41.8097,-87.6533,Illinois
Australian sea lion,Neophoca cinerea,Orange,25.5584,-80.4582,Florida
Canada goose,Branta canadensis,Fuscia,38.189,-85.6768,Kentucky
"Fox, blue",Alopex lagopus,Orange,40.6763,-73.7966,New York
Eastern indigo snake,Drymarchon corias couperi,Indigo,37.2742,-79.9579,Virginia
Bobcat,Felis rufus,Violet,47.6564,-122.3048,Washington
Musk ox,Ovibos moschatus,Violet,33.4724,-112.1832,Arizona
Collared lizard,Crotaphytus collaris,Yellow,38.8606,-94.4636,Missouri
European shelduck,Tadorna tadorna,Fuscia,26.6644,-80.1741,Florida
Eastern cottontail rabbit,Sylvilagus floridanus,Turquoise,61.204,-149.8084,Alaska
Southern boubou,Laniarius ferrugineus,Mauv,47.6964,-117.4399,Washington
Coyote,Canis latrans,Goldenrod,61.1089,-149.4403,Alaska
Blue waxbill,Uraeginthus angolensis,Violet,25.8655,-80.1936,Florida
Bee-eater (unidentified),Merops sp.,Goldenrod,33.9982,-84.3411,Georgia
"Iguana, land",Conolophus subcristatus,Aquamarine,41.6767,-83.5573,Ohio
"Stork, woolly-necked",Ciconia episcopus,Turquoise,41.3089,-73.3637,Connecticut
"Cat, civet",Bassariscus astutus,Aquamarine,28.3067,-80.6862,Florida
Collared peccary,Tayassu tajacu,Crimson,30.033,-89.8826,Louisiana
"Seal, southern elephant",Mirounga leonina,Teal,33.2765,-112.1872,Arizona
"Cat, cape wild",Felis libyca,Yellow,42.4981,-83.2058,Michigan
Columbian rainbow boa,Epicrates cenchria maurus,Purple,39.1668,-84.5382,Ohio
Pale white-eye,Zosterops pallidus,Orange,41.6727,-93.5722,Iowa
North American porcupine,Erethizon dorsatum,Pink,38.8933,-77.0146,District of Columbia
Snowy egret,Egretta thula,Yellow,40.9252,-74.1781,New Jersey
"Hartebeest, red",Alcelaphus buselaphus caama,Red,27.9865,-82.0139,Florida
Swainson's francolin,Francolinus swainsonii,Violet,42.7684,-78.8871,New York
"Kangaroo, black-faced",Macropus fuliginosus,Pink,46.8147,-92.1998,Minnesota
Racer snake,Coluber constrictor,Khaki,38.8933,-77.0146,District of Columbia
"Starling, red-shouldered glossy",Lamprotornis nitens,Yellow,38.3365,-77.4366,Virginia
Violet-eared waxbill,Uraeginthus granatina,Crimson,32.7714,-97.2915,Texas
Bare-faced go away bird,Lorythaixoides concolor,Mauv,39.085,-94.6356,Kansas
Sarus crane,Grus antigone,Mauv,32.9189,-96.7751,Texas
Nine-banded armadillo,Dasypus novemcinctus,Violet,38.6149,-90.1275,Illinois
"Boar, wild",Sus scrofa,Green,39.7439,-104.9876,Colorado
"Kite, black",Milvus migrans,Yellow,38.9776,-77.386,Virginia
"Egret, cattle",Bubulcus ibis,Yellow,37.1803,-93.2951,Missouri
Mouflon,Ovis musimon,Crimson,37.4011,-77.4615,Virginia
"Peacock, blue",Pavo cristatus,Red,33.0277,-96.6777,Texas
"Beaver, american",Castor canadensis,Goldenrod,33.2765,-112.1872,Arizona
"Cat, native",Dasyurus viverrinus,Orange,40.0938,-85.6578,Indiana
Mexican boa,Boa constrictor mexicana,Maroon,31.6631,-106.1401,Texas
Stone sheep,Ovis dalli stonei,Purple,38.9381,-77.086,District of Columbia
"Snake, eastern indigo",Drymarchon corias couperi,Indigo,27.872,-82.4388,Florida
Tayra,Eira barbata,Crimson,43.6783,-70.1987,Maine
Rufous-collared sparrow,Zonotrichia capensis,Purple,38.8933,-77.0146,District of Columbia
"Nuthatch, red-breasted",Sitta canadensis,Red,41.0938,-85.0707,Indiana
Tarantula,Lasiodora parahybana,Blue,39.5437,-104.9691,Colorado
"Squirrel, malabar",Ratufa indica,Khaki,37.1376,-84.1156,Kentucky
Cape wild cat,Felis libyca,Goldenrod,28.5803,-81.4396,Florida
"Colobus, white-mantled",Colobus guerza,Turquoise,31.6948,-106.3,Texas
Killer whale,Orcinus orca,Goldenrod,30.6521,-96.341,Texas
"Gull, kelp",Larus dominicanus,Violet,45.5289,-94.5933,Minnesota
"Otter, north american river",Lutra canadensis,Mauv,38.5495,-90.3811,Missouri
Sportive lemur,Lepilemur rufescens,Red,44.9608,-93.1216,Minnesota
Amazon parrot (unidentified),Amazona sp.,Pink,40.8247,-96.6252,Nebraska
"Tortoise, desert",Gopherus agassizii,Orange,40.2805,-74.712,New Jersey
Spotted deer,Axis axis,Orange,32.491,-84.8741,Georgia
Red-breasted cockatoo,Eolophus roseicapillus,Orange,38.4631,-122.99,California
American beaver,Castor canadensis,Violet,42.3615,-71.0604,Massachusetts
"Cow, scottish highland",Bos taurus,Indigo,43.1558,-77.6142,New York
"Bulbul, african red-eyed",Pycnonotus nigricans,Teal,43.3869,-84.0926,Michigan
"Waterbuck, defassa",Kobus defassa,Puce,38.8933,-77.0146,District of Columbia
Silver-backed jackal,Canis mesomelas,Yellow,40.7442,-89.7184,Illinois
Tayra,Eira barbata,Khaki,40.0903,-75.041,Pennsylvania
Hawk-headed parrot,Deroptyus accipitrinus,Blue,40.2618,-76.88,Pennsylvania
Crab-eating fox,Dusicyon thous,Green,27.0459,-82.2491,Florida
"Anteater, australian spiny",Tachyglossus aculeatus,Red,38.6531,-90.2435,Missouri
Painted stork,Mycteria leucocephala,Maroon,30.033,-89.8826,Louisiana
"Darter, african",Anhinga rufa,Goldenrod,25.5584,-80.4582,Florida
Brown capuchin,Cebus apella,Green,37.8571,-122.25,California
"Hawk-eagle, crowned",Spizaetus coronatus,Violet,40.7536,-73.8226,New York
South American sea lion,Otaria flavescens,Puce,31.6948,-106.3,Texas
Long-nosed bandicoot,Perameles nasuta,Indigo,38.8933,-77.0146,District of Columbia
"Kangaroo, red",Macropus rufus,Violet,47.6536,-117.4317,Washington
"Cow, scottish highland",Bos taurus,Aquamarine,30.3795,-91.1671,Louisiana
Urial,Ovis orientalis,Fuscia,47.1591,-122.5485,Washington
Red-capped cardinal,Paroaria gularis,Red,47.8599,-122.2848,Washington
"Cockatoo, red-tailed",Calyptorhynchus magnificus,Khaki,34.1378,-118.2424,California
Radiated tortoise,Geochelone radiata,Pink,32.7714,-97.2915,Texas
"Heron, gray",Ardea cinerea,Green,36.1499,-95.7923,Oklahoma
Pronghorn,Antilocapra americana,Red,28.5456,-81.3782,Florida
"Lemur, lesser mouse",Microcebus murinus,Yellow,41.3914,-75.6657,Pennsylvania
"Gecko, ring-tailed",Cyrtodactylus louisiadensis,Maroon,46.5901,-112.0402,Montana
Australian brush turkey,Alectura lathami,Puce,37.1803,-93.2951,Missouri
Darwin ground finch (unidentified),Geospiza sp.,Violet,43.1791,-86.1989,Michigan
"Fox, silver-backed",Vulpes chama,Puce,41.028,-81.4632,Ohio
"Goat, mountain",Oreamnos americanus,Goldenrod,47.7161,-122.3004,Washington
"Viper, egyptian",Naja haje,Yellow,44.9364,-123.0381,Oregon
Dabchick,Tachybaptus ruficollis,Teal,32.3475,-95.3065,Texas
"Badger, eurasian",Meles meles,Khaki,47.7161,-122.3004,Washington
"Lizard, giant girdled",Cordylus giganteus,Blue,35.22,-80.7881,North Carolina
"Owl, burrowing",Speotyte cuniculata,Turquoise,39.0706,-84.4179,Ohio
Grant's gazelle,Gazella granti,Fuscia,34.8001,-82.3932,South Carolina
"Cat, ringtail",Bassariscus astutus,Orange,33.7866,-118.2987,California
Four-horned antelope,Tetracerus quadricornis,Khaki,33.0169,-116.846,California
Grey fox,Vulpes cinereoargenteus,Fuscia,37.1894,-121.7053,California
Black-winged stilt,Himantopus himantopus,Violet,41.6727,-93.5722,Iowa
Leadbeateri's ground hornbill,Bucorvus leadbeateri,Blue,33.8123,-84.2819,Georgia
Mouflon,Ovis musimon,Teal,29.4237,-98.4925,Texas
"Waxbill, violet-eared",Uraeginthus granatina,Blue,37.7441,-122.4863,California
"Squirrel, thirteen-lined",Spermophilus tridecemlineatus,Orange,33.7488,-84.3883,Georgia
Three-banded plover,Charadrius tricollaris,Goldenrod,47.6536,-117.4317,Washington
"Raven, white-necked",Corvus albicollis,Indigo,36.8686,-76.3552,Virginia
Ring-tailed possum,Pseudocheirus peregrinus,Blue,30.392,-91.0892,Louisiana
Coqui partridge,Francolinus coqui,Maroon,45.2009,-93.8881,Minnesota
"Gull, swallow-tail",Creagrus furcatus,Puce,40.6407,-73.9028,New York
"Macaw, green-winged",Ara chloroptera,Yellow,41.9229,-87.6483,Illinois
Giraffe,Giraffe camelopardalis,Purple,38.897,-77.0251,District of Columbia
"Butterfly, tropical buckeye",Junonia genoveua,Goldenrod,38.8933,-77.0146,District of Columbia
"Lizard, mexican beaded",Heloderma horridum,Fuscia,38.0283,-84.4715,Kentucky
"Squirrel, uinta ground",Spermophilus armatus,Maroon,39.7505,-84.2686,Ohio
"Fowl, helmeted guinea",Numida meleagris,Blue,35.056,-78.9047,North Carolina
Numbat,Myrmecobius fasciatus,Maroon,38.3774,-121.4444,California
Chameleon (unidentified),Chamaelo sp.,Fuscia,33.1903,-97.1282,Texas
"Goose, greylag",Anser anser,Green,30.0956,-81.6217,Florida
"Monkey, rhesus",Macaca mulatta,Pink,32.6437,-117.1384,California
Amazon parrot (unidentified),Amazona sp.,Indigo,41.3826,-81.7964,Ohio
"Goose, cereopsis",Cereopsis novaehollandiae,Violet,32.6889,-97.1905,Texas
"Peccary, white-lipped",Tayassu pecari,Aquamarine,30.392,-91.0892,Louisiana
Osprey,Pandon haliaetus,Fuscia,27.709,-80.5726,Florida
"Snake, carpet",Morelia spilotes variegata,Maroon,37.9971,-87.575,Indiana
Tokay gecko,Gekko gecko,Maroon,36.1378,-115.3261,Nevada
"Stork, yellow-billed",Mycteria ibis,Khaki,34.0447,-118.4487,California
"Rhea, greater",Rhea americana,Red,37.0318,-76.3199,Virginia
"Sheathbill, snowy",Chionis alba,Goldenrod,40.7808,-73.9772,New York
"Tapir, brazilian",Tapirus terrestris,Maroon,40.2418,-74.6962,New Jersey
Common seal,Phoca vitulina,Teal,43.0349,-83.6887,Michigan
Common dolphin,Delphinus delphis,Purple,37.5593,-77.4471,Virginia
Pale white-eye,Zosterops pallidus,Blue,40.6924,-73.9666,New York
"Colobus, black and white",Colobus guerza,Yellow,39.1668,-84.5382,Ohio
"Nutcracker, clark's",Nucifraga columbiana,Indigo,30.4478,-84.3211,Florida
Mourning collared dove,Streptopelia decipiens,Crimson,30.352,-97.7151,Texas
Great egret,Casmerodius albus,Violet,34.0434,-118.2716,California
Red-tailed hawk,Buteo jamaicensis,Teal,36.2235,-115.2655,Nevada
"Antelope, roan",Hippotragus equinus,Mauv,42.6149,-73.9708,New York
Thomson's gazelle,Gazella thompsonii,Fuscia,41.0247,-73.7781,New York
Knob-nosed goose,Sarkidornis melanotos,Yellow,35.2944,-118.9052,California
"Turkey, common",Meleagris gallopavo,Mauv,40.7845,-96.6888,Nebraska
Crab (unidentified),unavailable,Khaki,42.7161,-87.8233,Wisconsin
Striped skunk,Mephitis mephitis,Goldenrod,33.7866,-118.2987,California
Two-toed sloth,Choloepus hoffmani,Fuscia,42.7198,-73.8207,New York
Madagascar fruit bat,Pteropus rufus,Fuscia,33.4368,-111.7129,Arizona
Barrows goldeneye,Bucephala clangula,Puce,43.0696,-89.4239,Wisconsin
"Squirrel, golden-mantled ground",Spermophilus lateralis,Purple,39.7467,-104.8384,Colorado
Mandras tree shrew,Anathana ellioti,Puce,33.0169,-116.846,California
"Seal, harbor",Phoca vitulina,Goldenrod,32.826,-96.7843,Texas
"Oystercatcher, blackish",Haematopus ater,Maroon,37.9651,-84.4708,Kentucky
"Hedgehog, south african",Erinaceus frontalis,Fuscia,38.1286,-104.5523,Colorado
"Heron, grey",Ardea cinerea,Green,40.4344,-80.0248,Pennsylvania
"Python, carpet",Morelia spilotes variegata,Yellow,40.6934,-75.4712,Pennsylvania
"Cat, african wild",Felis silvestris lybica,Blue,40.6451,-73.945,New York
"Starfish, crown of thorns",Acanthaster planci,Indigo,32.3834,-86.2434,Alabama
"Fox, blue",Alopex lagopus,Violet,33.7529,-116.0556,California
"Heron, green",Butorides striatus,Teal,47.1441,-122.4434,Washington
"Deer, black-tailed",Odocoileus hemionus,Crimson,37.4011,-77.4615,Virginia
Royal tern,Thalasseus maximus,Goldenrod,32.3113,-90.3972,Mississippi
"Viper, egyptian",Naja haje,Blue,29.6779,-90.0901,Louisiana
Pied avocet,Recurvirostra avosetta,Maroon,37.2568,-121.8896,California
Snowy sheathbill,Chionis alba,Red,33.5446,-86.9292,Alabama
Hawk-headed parrot,Deroptyus accipitrinus,Teal,38.8558,-104.7134,Colorado
Argalis,Ovis ammon,Aquamarine,33.4724,-112.1832,Arizona
"Boubou, southern",Laniarius ferrugineus,Puce,41.6525,-83.5085,Ohio
"Wallaby, bennett's",Macropus rufogriseus,Turquoise,34.1231,-79.6893,South Carolina
"Tortoise, galapagos",Geochelone elephantopus,Pink,42.4011,-96.372,Iowa
Slender-billed cockatoo,Cacatua tenuirostris,Teal,28.5456,-81.3782,Florida
"Gull, pacific",Gabianus pacificus,Maroon,35.0656,-80.8511,North Carolina
Ringtail cat,Bassariscus astutus,Indigo,35.421,-97.5616,Oklahoma
Egyptian goose,Alopochen aegyptiacus,Maroon,40.5051,-80.1155,Pennsylvania
Australian sea lion,Neophoca cinerea,Fuscia,40.7918,-73.9448,New York
"Squirrel, palm",Funambulus pennati,Orange,33.9754,-118.417,California
"Goose, snow",Anser caerulescens,Crimson,37.5593,-77.4471,Virginia
Kinkajou,Potos flavus,Red,40.7808,-73.9772,New York
"Bat, asian false vampire",Megaderma spasma,Aquamarine,35.5212,-105.9818,New Mexico
Lesser flamingo,Phoeniconaias minor,Yellow,35.4015,-101.8951,Texas
White-browed sparrow weaver,Plocepasser mahali,Fuscia,33.811,-117.8493,California
Gray heron,Ardea cinerea,Aquamarine,37.7848,-122.7278,California
"Tern, white-winged black",Chlidonias leucopterus,Indigo,34.8019,-92.1894,Arkansas
"Duck, blue",Hymenolaimus malacorhynchus,Orange,26.6459,-80.4303,Florida
"Woodcock, american",Scolopax minor,Violet,30.3189,-81.6854,Florida
"Langur, hanuman",Semnopithecus entellus,Purple,39.0312,-94.6308,Kansas
Pied crow,Corvus albus,Blue,36.8282,-76.0237,Virginia
"Cockatoo, red-tailed",Calyptorhynchus magnificus,Goldenrod,43.0059,-71.0132,New Hampshire
Red howler monkey,Alouatta seniculus,Violet,38.8933,-77.0146,District of Columbia
"Whale, southern right",Eubalaena australis,Aquamarine,40.8085,-73.9198,New York
"Tortoise, burmese brown mountain",Manouria emys,Indigo,46.8147,-92.1998,Minnesota
"Stork, white",Ciconia ciconia,Goldenrod,26.4116,-80.0928,Florida
African skink,Mabuya spilogaster,Green,33.1617,-87.5144,Alabama
Asian false vampire bat,Megaderma spasma,Purple,32.4908,-92.1594,Louisiana
Blue catfish,Ictalurus furcatus,Indigo,38.8933,-77.0146,District of Columbia
Common pheasant,Phasianus colchicus,Goldenrod,39.2847,-76.6205,Maryland
"Crane, black-crowned",Balearica pavonina,Goldenrod,39.1678,-119.7764,Nevada
Ring-tailed lemur,Lemur catta,Crimson,41.7638,-72.673,Connecticut
Emu,Dromaeus novaehollandiae,Blue,41.8397,-88.0887,Illinois
Waved albatross,Diomedea irrorata,Red,39.9671,-83.0044,Ohio
"Hornbill, leadbeateri's ground",Bucorvus leadbeateri,Red,45.5078,-122.6897,Oregon
Currasow (unidentified),Crax sp.,Yellow,26.6104,-80.1683,Florida
"Weaver, lesser masked",Ploceus intermedius,Goldenrod,39.9379,-75.1794,Pennsylvania
Musk ox,Ovibos moschatus,Yellow,47.4323,-121.8034,Washington
Indian giant squirrel,Ratufa indica,Khaki,47.1042,-122.87,Washington
"Possum, common brushtail",Trichosurus vulpecula,Goldenrod,38.6185,-90.2564,Missouri
Feathertail glider,Acrobates pygmaeus,Green,38.0283,-84.4715,Kentucky
Greater kudu,Tragelaphus strepsiceros,Khaki,41.119,-73.733,New York
"Starling, greater blue-eared",Lamprotornis chalybaeus,Crimson,39.7783,-104.7556,Colorado
"Moorhen, purple",Porphyrio porphyrio,Pink,33.6299,-112.1316,Arizona
Pied crow,Corvus albus,Purple,39.9523,-83.078,Ohio
Urial,Ovis orientalis,Goldenrod,26.1457,-80.4483,Florida
White-faced tree rat,Echimys chrysurus,Pink,37.3729,-121.856,California
"Cormorant, neotropic",Phalacrocorax brasilianus,Green,36.8056,-76.2666,Virginia
Galapagos dove,Zenaida galapagoensis,Maroon,29.4375,-98.4616,Texas
Burmese brown mountain tortoise,Manouria emys,Blue,38.8318,-77.2888,Virginia
Bush dog,Speothos vanaticus,Teal,43.6746,-96.7913,South Dakota
Woodrat (unidentified),Neotoma sp.,Crimson,42.3189,-85.5152,Michigan
Small-toothed palm civet,Arctogalidia trivirgata,Blue,37.625,-77.4959,Virginia
"Ass, asiatic wild",Equus hemionus,Goldenrod,38.9067,-77.0312,District of Columbia
"Meerkat, red",Cynictis penicillata,Khaki,45.9497,-108.599,Montana
Snake-necked turtle,Chelodina longicollis,Crimson,39.7699,-119.6027,Nevada
"Gull, pacific",Gabianus pacificus,Indigo,61.1535,-149.8289,Alaska
Red-tailed cockatoo,Calyptorhynchus magnificus,Yellow,34.2216,-84.1537,Georgia
Springbuck,Antidorcas marsupialis,Maroon,33.5508,-88.4865,Mississippi
White-throated robin,Irania gutteralis,Maroon,38.3774,-121.4444,California
"Eagle, pallas's fish",Haliaeetus leucoryphus,Khaki,35.0443,-106.6729,New Mexico
"Duck, mountain",Hymenolaimus malacorhynchus,Goldenrod,33.2765,-112.1872,Arizona
Brown antechinus,Antechinus flavipes,Teal,36.0467,-95.8841,Oklahoma
"Goose, cereopsis",Cereopsis novaehollandiae,Blue,34.84,-115.9671,California
Platypus,Ornithorhynchus anatinus,Aquamarine,39.734,-105.0259,Colorado
Ostrich,Struthio camelus,Teal,41.8784,-87.633,Illinois
"Otter, small-clawed",Aonyx cinerea,Turquoise,41.3089,-73.3637,Connecticut
"Skimmer, four-spotted",Libellula quadrimaculata,Maroon,38.4134,-82.2774,West Virginia
Brindled gnu,Connochaetus taurinus,Violet,33.8444,-84.474,Georgia
"Dove, galapagos",Zenaida galapagoensis,Mauv,43.174,-77.5637,New York
Long-crested hawk eagle,Lophoaetus occipitalis,Goldenrod,47.116,-114.0498,Montana
Klipspringer,Oreotragus oreotragus,Turquoise,33.3616,-111.2795,Arizona
Australian pelican,Pelecanus conspicillatus,Purple,38.189,-85.6768,Kentucky
"Penguin, little blue",Eudyptula minor,Teal,40.7808,-73.9772,New York
"Stork, white",Ciconia ciconia,Aquamarine,36.0218,-78.9478,North Carolina
"Thrasher, curve-billed",Toxostoma curvirostre,Yellow,26.1443,-80.2069,Florida
"Salmon, sockeye",Oncorhynchus nerka,Violet,33.7629,-84.4226,Georgia
Sandhill crane,Grus canadensis,Yellow,33.9352,-85.9576,Alabama
Manatee,Trichechus inunguis,Purple,39.7388,-104.4083,Colorado
Long-tailed skua,Stercorarius longicausus,Goldenrod,38.3774,-121.4444,California
Black-necked stork,Ephippiorhynchus mycteria,Orange,26.0143,-81.5856,Florida
American badger,Taxidea taxus,Orange,33.5446,-86.9292,Alabama
Red-legged pademelon,Thylogale stigmatica,Maroon,29.834,-95.4342,Texas
"Rattlesnake, eastern diamondback",Crotalus adamanteus,Aquamarine,40.3522,-78.9383,Pennsylvania
"Owl, madagascar hawk",Ninox superciliaris,Yellow,32.7673,-96.7776,Texas
Mountain duck,Hymenolaimus malacorhynchus,Green,38.9033,-92.1022,Missouri
Nyala,Tragelaphus angasi,Yellow,29.834,-95.4342,Texas
Rose-ringed parakeet,Psittacula krameri,Turquoise,28.0081,-82.5805,Florida
"Brocket, brown",Mazama gouazoubira,Teal,41.6492,-83.6706,Ohio
"Crane, wattled",Bugeranus caruncalatus,Goldenrod,41.9166,-88.1208,Illinois
North American river otter,Lutra canadensis,Violet,47.6849,-122.2968,Washington
Bushbuck,Tragelaphus scriptus,Pink,38.949,-94.7405,Kansas
Horned puffin,Fratercula corniculata,Indigo,31.4647,-100.39,Texas
Columbian rainbow boa,Epicrates cenchria maurus,Purple,44.9608,-93.1216,Minnesota
"Turtle, snake-necked",Chelodina longicollis,Aquamarine,31.6948,-106.3,Texas
Green heron,Butorides striatus,Crimson,30.033,-89.8826,Louisiana
"Owl, madagascar hawk",Ninox superciliaris,Maroon,41.5444,-93.6192,Iowa
